Vgs_1.6,Ids_1.6,Vgs_1.6500000000000001,Ids_1.6500000000000001,Vgs_1.7000000000000002,Ids_1.7000000000000002,Vgs_1.7500000000000002,Ids_1.7500000000000002,Vgs_1.8000000000000003,Ids_1.8000000000000003,Vgs_1.8500000000000003,Ids_1.8500000000000003,Vgs_1.9000000000000004,Ids_1.9000000000000004,Vgs_1.9500000000000004,Ids_1.9500000000000004,Vgs_2.0000000000000004,Ids_2.0000000000000004,Vgs_2.0500000000000007,Ids_2.0500000000000007,Vgs_2.1000000000000005,Ids_2.1000000000000005,Vgs_2.1500000000000004,Ids_2.1500000000000004,Vgs_2.2000000000000006,Ids_2.2000000000000006
1.599,0.002,1.65,0.003,1.699,0.006,1.749,0.011,1.8,0.019,1.85,0.034,1.899,0.057,1.95,0.093,2.0,0.146,2.049,0.22,2.099,0.323,2.15,0.454,2.199,0.616
1.599,0.0,1.65,0.003,1.699,0.006,1.749,0.011,1.8,0.02,1.85,0.034,1.899,0.057,1.95,0.093,2.0,0.146,2.049,0.221,2.099,0.324,2.15,0.456,2.199,0.619
1.6,0.002,1.65,0.003,1.699,0.006,1.749,0.011,1.8,0.02,1.85,0.034,1.899,0.057,1.95,0.093,2.0,0.147,2.049,0.222,2.099,0.325,2.15,0.458,2.199,0.621
1.6,0.002,1.65,0.003,1.699,0.006,1.749,0.011,1.8,0.02,1.85,0.034,1.899,0.057,1.95,0.094,2.0,0.147,2.049,0.223,2.099,0.327,2.15,0.46,2.199,0.624
1.599,0.002,1.65,0.003,1.699,0.006,1.749,0.011,1.8,0.02,1.85,0.034,1.899,0.058,1.95,0.094,2.0,0.148,2.049,0.224,2.099,0.328,2.15,0.462,2.199,0.627
1.599,0.0,1.65,0.004,1.699,0.006,1.749,0.011,1.8,0.02,1.85,0.034,1.899,0.058,1.95,0.094,2.0,0.148,2.049,0.224,2.099,0.329,2.15,0.463,2.199,0.629
1.6,0.002,1.65,0.003,1.699,0.006,1.749,0.011,1.8,0.02,1.85,0.034,1.899,0.058,1.95,0.094,2.0,0.148,2.049,0.224,2.099,0.329,2.15,0.464,2.199,0.631
1.599,0.0,1.65,0.003,1.699,0.006,1.749,0.011,1.8,0.02,1.85,0.035,1.899,0.058,1.95,0.095,2.0,0.149,2.049,0.226,2.099,0.33,2.15,0.466,2.199,0.634
1.6,0.002,1.65,0.004,1.699,0.006,1.749,0.011,1.8,0.02,1.85,0.035,1.899,0.058,1.95,0.095,2.0,0.15,2.049,0.226,2.099,0.332,2.15,0.468,2.199,0.636
1.6,0.002,1.65,0.004,1.699,0.006,1.749,0.011,1.8,0.02,1.85,0.035,1.899,0.058,1.95,0.096,2.0,0.15,2.049,0.227,2.099,0.334,2.15,0.47,2.199,0.639
1.599,0.002,1.65,0.004,1.699,0.006,1.749,0.011,1.8,0.02,1.85,0.035,1.899,0.059,1.95,0.096,2.0,0.151,2.049,0.228,2.099,0.335,2.15,0.471,2.199,0.641
1.599,0.0,1.65,0.004,1.699,0.006,1.749,0.011,1.8,0.02,1.85,0.035,1.899,0.059,1.95,0.096,2.0,0.151,2.049,0.228,2.099,0.335,2.15,0.472,2.199,0.642
1.6,0.002,1.65,0.004,1.699,0.006,1.749,0.011,1.8,0.02,1.85,0.035,1.899,0.059,1.95,0.096,2.0,0.151,2.049,0.229,2.099,0.335,2.15,0.474,2.199,0.644
1.599,0.002,1.65,0.004,1.699,0.006,1.749,0.011,1.8,0.02,1.85,0.035,1.899,0.059,1.95,0.096,2.0,0.151,2.049,0.229,2.099,0.336,2.15,0.474,2.199,0.646
1.599,0.0,1.65,0.004,1.699,0.006,1.749,0.011,1.8,0.02,1.85,0.035,1.899,0.059,1.95,0.097,2.0,0.152,2.049,0.23,2.099,0.337,2.15,0.475,2.199,0.647
1.6,0.002,1.65,0.004,1.699,0.006,1.749,0.011,1.8,0.02,1.85,0.035,1.899,0.059,1.95,0.097,2.0,0.152,2.049,0.23,2.099,0.337,2.15,0.477,2.199,0.649
1.6,0.002,1.65,0.004,1.699,0.006,1.749,0.011,1.8,0.02,1.85,0.035,1.899,0.059,1.95,0.097,2.0,0.152,2.049,0.23,2.099,0.338,2.15,0.477,2.199,0.651
1.599,0.002,1.65,0.004,1.699,0.006,1.749,0.011,1.8,0.02,1.85,0.035,1.899,0.059,1.95,0.097,2.0,0.152,2.049,0.231,2.099,0.338,2.15,0.478,2.199,0.652
1.6,0.002,1.65,0.004,1.699,0.007,1.749,0.011,1.8,0.02,1.85,0.035,1.899,0.059,1.95,0.097,2.0,0.153,2.049,0.231,2.099,0.339,2.15,0.479,2.199,0.653
1.6,0.002,1.65,0.004,1.7,0.006,1.749,0.011,1.8,0.02,1.85,0.035,1.899,0.059,1.95,0.097,2.0,0.152,2.049,0.231,2.099,0.339,2.15,0.479,2.199,0.654
1.599,0.0,1.65,0.004,1.699,0.007,1.749,0.011,1.8,0.02,1.85,0.035,1.899,0.059,1.95,0.097,2.0,0.153,2.049,0.231,2.099,0.339,2.15,0.48,2.199,0.655
1.6,0.002,1.65,0.004,1.699,0.007,1.749,0.011,1.8,0.02,1.85,0.035,1.899,0.059,1.95,0.097,2.0,0.153,2.049,0.232,2.099,0.34,2.15,0.481,2.199,0.656
1.6,0.002,1.65,0.004,1.699,0.007,1.749,0.011,1.8,0.021,1.85,0.035,1.899,0.059,1.95,0.098,2.0,0.153,2.049,0.232,2.099,0.341,2.15,0.482,2.199,0.658
1.599,0.002,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.021,1.85,0.036,1.899,0.06,1.95,0.098,2.0,0.153,2.049,0.232,2.099,0.341,2.15,0.482,2.199,0.659
1.599,0.0,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.021,1.85,0.036,1.899,0.06,1.95,0.098,2.0,0.154,2.049,0.233,2.099,0.342,2.15,0.484,2.199,0.66
1.6,0.002,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.021,1.85,0.036,1.899,0.06,1.95,0.098,2.0,0.154,2.049,0.233,2.099,0.343,2.15,0.484,2.199,0.662
1.599,0.002,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.021,1.85,0.036,1.899,0.06,1.95,0.098,2.0,0.154,2.049,0.234,2.099,0.344,2.15,0.485,2.199,0.664
1.599,0.0,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.021,1.85,0.036,1.899,0.06,1.95,0.099,2.0,0.155,2.049,0.234,2.099,0.344,2.15,0.487,2.199,0.664
1.6,0.002,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.021,1.85,0.036,1.899,0.06,1.95,0.098,2.0,0.155,2.049,0.234,2.099,0.344,2.15,0.487,2.199,0.665
1.599,0.002,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.021,1.85,0.036,1.899,0.06,1.95,0.099,2.0,0.155,2.049,0.235,2.099,0.344,2.15,0.487,2.199,0.667
1.6,0.002,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.021,1.85,0.036,1.899,0.06,1.95,0.099,2.0,0.155,2.049,0.235,2.099,0.346,2.15,0.49,2.199,0.669
1.599,0.002,1.65,0.004,1.7,0.007,1.749,0.012,1.8,0.021,1.85,0.036,1.899,0.061,1.95,0.099,2.0,0.156,2.049,0.236,2.099,0.347,2.15,0.49,2.199,0.671
1.599,0.0,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.021,1.85,0.036,1.899,0.061,1.95,0.099,2.0,0.156,2.049,0.236,2.099,0.347,2.15,0.492,2.199,0.671
1.6,0.002,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.021,1.85,0.036,1.899,0.061,1.95,0.1,2.0,0.157,2.049,0.237,2.099,0.349,2.15,0.493,2.199,0.674
1.599,0.002,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.021,1.85,0.036,1.899,0.061,1.95,0.1,2.0,0.157,2.049,0.237,2.099,0.349,2.15,0.493,2.199,0.675
1.599,0.0,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.021,1.85,0.037,1.899,0.061,1.95,0.1,2.0,0.157,2.049,0.238,2.099,0.349,2.15,0.495,2.199,0.676
1.6,0.002,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.021,1.85,0.037,1.899,0.061,1.95,0.1,2.0,0.157,2.049,0.238,2.099,0.35,2.15,0.496,2.199,0.677
1.599,0.002,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.021,1.85,0.037,1.899,0.061,1.95,0.1,2.0,0.157,2.049,0.238,2.099,0.35,2.15,0.496,2.199,0.679
1.599,0.0,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.021,1.85,0.037,1.899,0.061,1.95,0.101,2.0,0.158,2.049,0.239,2.099,0.351,2.15,0.497,2.199,0.681
1.6,0.002,1.65,0.004,1.7,0.007,1.749,0.012,1.8,0.021,1.85,0.037,1.899,0.062,1.95,0.101,2.0,0.158,2.049,0.239,2.099,0.352,2.15,0.499,2.199,0.681
1.599,0.002,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.021,1.85,0.037,1.899,0.062,1.95,0.101,2.0,0.158,2.049,0.24,2.099,0.353,2.15,0.499,2.199,0.683
1.599,0.0,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.022,1.85,0.037,1.899,0.062,1.95,0.102,2.0,0.159,2.049,0.241,2.099,0.354,2.15,0.501,2.199,0.684
1.6,0.002,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.022,1.85,0.037,1.899,0.062,1.95,0.101,2.0,0.159,2.049,0.241,2.099,0.354,2.15,0.501,2.199,0.684
1.599,0.002,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.022,1.85,0.037,1.899,0.062,1.95,0.102,2.0,0.159,2.049,0.241,2.099,0.355,2.15,0.501,2.199,0.687
1.599,0.0,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.022,1.85,0.037,1.899,0.062,1.95,0.102,2.0,0.16,2.049,0.242,2.099,0.355,2.15,0.503,2.199,0.688
1.6,0.002,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.022,1.85,0.037,1.899,0.063,1.95,0.102,2.0,0.16,2.049,0.242,2.099,0.356,2.15,0.505,2.199,0.689
1.599,0.002,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.022,1.85,0.037,1.899,0.063,1.95,0.102,2.0,0.16,2.049,0.242,2.099,0.356,2.15,0.504,2.199,0.69
1.599,0.0,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.022,1.85,0.038,1.899,0.063,1.95,0.102,2.0,0.161,2.049,0.243,2.099,0.357,2.15,0.505,2.199,0.692
1.6,0.002,1.65,0.004,1.7,0.007,1.749,0.012,1.8,0.022,1.85,0.038,1.899,0.063,1.95,0.103,2.0,0.161,2.049,0.244,2.099,0.358,2.15,0.508,2.199,0.693
1.599,0.002,1.65,0.004,1.699,0.007,1.749,0.012,1.8,0.022,1.85,0.038,1.899,0.063,1.95,0.103,2.0,0.162,2.049,0.244,2.099,0.359,2.15,0.507,2.199,0.695
1.599,0.0,1.65,0.004,1.699,0.007,1.749,0.013,1.8,0.022,1.85,0.038,1.899,0.063,1.95,0.103,2.0,0.162,2.049,0.245,2.099,0.36,2.15,0.51,2.199,0.696
1.6,0.002,1.65,0.004,1.699,0.007,1.749,0.013,1.8,0.022,1.85,0.038,1.899,0.064,1.95,0.104,2.0,0.162,2.049,0.245,2.099,0.36,2.15,0.51,2.199,0.697
1.599,0.002,1.65,0.004,1.699,0.007,1.749,0.013,1.8,0.022,1.85,0.038,1.899,0.064,1.95,0.104,2.0,0.162,2.049,0.245,2.099,0.361,2.15,0.51,2.199,0.698
1.599,0.0,1.65,0.004,1.699,0.007,1.749,0.013,1.8,0.022,1.85,0.038,1.899,0.064,1.95,0.104,2.0,0.163,2.049,0.246,2.099,0.361,2.15,0.511,2.199,0.699
1.6,0.002,1.65,0.004,1.699,0.007,1.749,0.013,1.8,0.022,1.85,0.038,1.899,0.064,1.95,0.104,2.0,0.163,2.049,0.246,2.099,0.361,2.15,0.51,2.199,0.7
1.599,0.0,1.65,0.004,1.699,0.007,1.749,0.013,1.8,0.022,1.85,0.038,1.899,0.064,1.95,0.104,2.0,0.163,2.049,0.246,2.099,0.361,2.15,0.511,2.199,0.701
1.6,0.002,1.65,0.004,1.699,0.007,1.749,0.013,1.8,0.022,1.85,0.038,1.899,0.064,1.95,0.104,2.0,0.163,2.049,0.247,2.099,0.363,2.15,0.514,2.199,0.702
1.6,0.002,1.65,0.004,1.699,0.007,1.749,0.013,1.8,0.022,1.85,0.038,1.899,0.064,1.95,0.104,2.0,0.163,2.049,0.247,2.099,0.363,2.15,0.513,2.199,0.703
1.599,0.0,1.65,0.004,1.699,0.007,1.749,0.013,1.8,0.022,1.85,0.038,1.899,0.064,1.95,0.105,2.0,0.164,2.049,0.248,2.099,0.363,2.15,0.514,2.199,0.705
1.6,0.002,1.65,0.004,1.699,0.007,1.749,0.013,1.8,0.022,1.85,0.038,1.899,0.064,1.95,0.105,2.0,0.164,2.049,0.248,2.099,0.364,2.15,0.517,2.199,0.706
1.6,0.002,1.65,0.004,1.699,0.007,1.749,0.013,1.8,0.022,1.85,0.039,1.899,0.065,1.95,0.105,2.0,0.165,2.049,0.249,2.099,0.366,2.15,0.517,2.199,0.709
